Date,Open,High,Low,Close,Adj Close,Volume
10/07/2017,15215.79981,15297,15113.09961,15174.79981,15174.79981,465126700
17/07/2017,15186.29981,15319.2002,15086.29981,15183.09961,15183.09961,719623500
24/07/2017,15170.5,15276,15070.79981,15128.7002,15128.7002,812306100
31/07/2017,15150,15324.59961,15052.40039,15258,15258,828050200
07/08/2017,15267.40039,15287.90039,14995.29981,15033.40039,15033.40039,710142000
14/08/2017,15087.09961,15196.09961,14923.2002,14952.29981,14952.29981,741526800
21/08/2017,14946.79981,15108.2002,14918.59961,15056,15056,601666400
28/08/2017,15067.40039,15228.09961,14934,15191.59961,15191.59961,777785300
04/09/2017,15186.09961,15186.09961,14953.90039,14985.29981,14985.29981,650189600
11/09/2017,15023,15183.79981,15015.59961,15173,15173,1237665700
18/09/2017,15175.79981,15479.2002,15173.59961,15454.2002,15454.2002,909611500
25/09/2017,15453.59961,15692,15437.79981,15634.90039,15634.90039,942656800
02/10/2017,15640,15787.29981,15619.2002,15728.29981,15728.29981,808609700
09/10/2017,15763.59961,15828.90039,15742.2002,15807.2002,15807.2002,613083200
16/10/2017,15844,15880.7002,15754.09961,15857.2002,15857.2002,802654100
23/10/2017,15881.59961,15963.59961,15816.5,15953.5,15953.5,875908700
30/10/2017,15942.90039,16105.90039,15942.90039,16020.2002,16020.2002,995937000
06/11/2017,16049.40039,16131.79981,16006.29981,16039.29981,16039.29981,953224500
13/11/2017,15999.09961,16065.90039,15829.40039,15998.59961,15998.59961,811551100
20/11/2017,15988.79981,16126,15986,16108.09961,16108.09961,610929000
27/11/2017,16110.59961,16110.59961,15926.59961,16039,16039,1120378300
04/12/2017,16069.40039,16113.29981,15853.09961,16096.09961,16096.09961,844375000
11/12/2017,16096,16187.90039,16008.5,16042,16042,1156170900
18/12/2017,16107.79981,16200.79981,16099.59961,16165.29981,16165.29981,834763500
25/12/2017,16180.40039,16232.2002,16131.79981,16209.09961,16209.09961,445232800
01/01/2018,16213.40039,16421.40039,16181,16349.40039,16349.40039,710227100
08/01/2018,16355.40039,16373.5,16229.29981,16308.2002,16308.2002,1121012700
15/01/2018,16321.79981,16384.5,16270.59961,16353.5,16353.5,1005433800
22/01/2018,16348.90039,16383.79981,16180.7002,16239.2002,16239.2002,1122220000
29/01/2018,16195.7002,16195.7002,15600.90039,15606,15606,1135102200
05/02/2018,15490.09961,15584.09961,14785.79981,15034.5,15034.5,1344005300
12/02/2018,15148.09961,15500.79981,15114,15452.59961,15452.59961,1223757300
19/02/2018,15427.2002,15641.09961,15414.59961,15638.5,15638.5,786419200
26/02/2018,15701.09961,15766.5,15286.59961,15384.59961,15384.59961,1090261000
05/03/2018,15340.2002,15611.90039,15334.7002,15577.79981,15577.79981,932408100
12/03/2018,15579.59961,15791.2002,15549,15711.29981,15711.29981,1143735300
19/03/2018,15693.09961,15741.5,15203.90039,15223.7002,15223.7002,1097544800
26/03/2018,15334.2002,15390.79981,15150.5,15367.29981,15367.29981,868041400
02/04/2018,15351.2002,15371.40039,14991.2002,15207.40039,15207.40039,1008729900
09/04/2018,15268.40039,15349.59961,15216,15274,15274,968154100
16/04/2018,15298.79981,15576.7002,15266.90039,15484.29981,15484.29981,949275800
23/04/2018,15503.40039,15682.29981,15430.59961,15668.90039,15668.90039,915628400
30/04/2018,15676.79981,15752.5,15548.7002,15729.40039,15729.40039,993336000
07/05/2018,15759.7002,16030.40039,15759.7002,15983.29981,15983.29981,1120600800
14/05/2018,16023.90039,16179.5,16016.90039,16162.29981,16162.29981,1042819600
21/05/2018,16179.29981,16238.79981,16059.7002,16075.7002,16075.7002,814331500
28/05/2018,16059.40039,16095.2002,15884.29981,16043.5,16043.5,938677100
04/06/2018,16064.90039,16249.2002,16038,16202.7002,16202.7002,919927800
11/06/2018,16229.2002,16351.59961,16220.5,16314.40039,16314.40039,1129612200
18/06/2018,16275.5,16489.5,16253.29981,16450.09961,16450.09961,1040408400
25/06/2018,16381.5,16384.80078,16112.59961,16277.7002,16277.7002,1166730500
02/07/2018,16332.40039,16378.59961,16227.29981,16371.79981,16371.79981,542173700
09/07/2018,16402.69922,16553.80078,16382.29981,16417.30078,16417.30078,552502600
11/07/2018,16448.89063,16464.0293,16390.06055,16417.32031,16417.32031,223771000
